tourney_id,alias,source
1968-319,Kitzbuehel,tour
1968-243,Perth,tour
1968-313,Bristol,tour
1968-583,Manchester,tour
1968-9346,Cape Town,tour
1968-9348,Mexico City,tour
1968-T101,Bombay,tour
1968-T102,Calcutta,tour
1968-T103,Port Elizabeth,tour
1968-T104,San Juan,tour
1968-T105,Bremen Indoors,tour
1968-T107,Pittsburgh Indoors,tour
1968-T108,Concord Indoors,tour
1968-T109,Munich Indoors,tour
1968-T110,Long Island Indoors,tour
1968-T111,Phoenix,tour
1968-T112,Cannes,tour
1968-T113,Madrid,tour
1968-T114,Los Angeles Socal Chps,tour
1968-T115,Oakland,tour
1968-T116,La Coruna,tour
1968-T119,Viareggio,tour
1968-T120,Ortisei,tour
1968-T121,Aberavon,tour
1968-T125,Barcelona Nationals,tour
1968-T130,Woodside,tour
1968-T131,Helsinki,tour
1968-T132,Saltsjoebaden,tour
1968-T133,San Antonio Collegiate,tour
1968-T134,King'S Cup 2R,tour
1968-T137,Montana Vermala,tour
1968-T139,Senigallia,tour
1968-T140,Scheveningen,tour
1968-T142,Quebec City,tour
1968-T143,Bucharest,tour
1968-T144,Mamaia,tour
1968-T145,Las Vegas,tour
1968-T146,Belgrade,tour
1968-T150,Madrid Real,tour
1968-T160,Kings Cup Sf,tour
1968-T161,Kings Cup Final,tour
1968-T162,Valencia,tour
1968-T166,Cannes Chps,tour
1968-T167,Hanau,tour
1968-T168,Narberth,tour
1969-2029,Dublin,tour
1969-2058,New York,tour
1969-243,Perth,tour
1969-260,Durban,tour
1969-301,Auckland,tour
1969-303,Buenos Aires,tour
1969-311,London / Queen'S Club,tour
1969-314,Gstaad,tour
1969-317,Hilversum,tour
1969-338,Sydney,tour
1969-3936,Melbourne,tour
1969-3938,Bournemouth,tour
1969-3939,Caracas,tour
1969-3940,Barranquilla,tour
1969-3942,Bristol,tour
1969-3944,Bastad,tour
1969-401,Philadelphia Wct,tour
1969-406,Brussels,tour
1969-410,Monte Carlo,tour
1969-413,Las Vegas,tour
1969-416,Rome,tour
1969-417,Boston,tour
1969-418,Washington,tour
1969-422,Cincinnati,tour
1969-423,Los Angeles,tour
1969-425,Barcelona,tour
1969-426,Johannesburg,tour
1969-429,Stockholm Open,tour
1969-430,Wembley,tour
1969-520,Roland Garros,tour
1969-540,Wimbledon,tour
1969-560,Us Open,tour
1969-580,Australian Open,tour
1969-717,Indianapolis,tour
1969-D001,Davis Cup Sam Qf: Chi Vs Arg,tour
1969-D002,Davis Cup Ame F: Mex Vs Aus,tour
1969-D003,Davis Cup Eur Qf: Ita Vs Aut,tour
1969-D004,Davis Cup Eur R1: Nor Vs Aut,tour
1969-D005,Davis Cup Eur R1: Ita Vs Bel,tour
1969-D006,Davis Cup Sam F: Chi Vs Bra,tour
1969-D007,Davis Cup Sam Sf: Col Vs Bra,tour
1969-D008,Davis Cup Eur Sf: Gbr Vs Bra,tour
1969-D009,Davis Cup Ame F: Bra Vs Mex,tour
1969-D010,Davis Cup Eur R1: Mon Vs Bul,tour
1969-D011,Davis Cup Eur R1: Ned Vs Can,tour
1969-D012,Davis Cup Eur Qf: Urs Vs Can,tour
1969-D013,Davis Cup Ame Sf: Car Vs Mex,tour
1969-D014,Davis Cup Sam Sf: Chi Vs Ecu,tour
1969-D015,Davis Cup Sam Qf: Ven Vs Col,tour
1969-D016,Davis Cup Eur R1: Den Vs Tch,tour
1969-D017,Davis Cup Eur Pr: Egy Vs Lib,tour
1969-D018,Davis Cup Eur R1: Rou Vs Egy,tour
1969-D019,Davis Cup Eur Sf: Esp Vs Rou,tour
1969-D020,Davis Cup Eur Qf: Yug Vs Esp,tour
1969-D021,Davis Cup Eur R1: Esp Vs Rho,tour
1969-D022,Davis Cup Eur R1: Fin Vs Swe,tour
1969-D023,Davis Cup Eur R1: Yug Vs Fra,tour
1969-D024,Davis Cup Eur Sf: Gbr Vs Frg,tour
1969-D025,Davis Cup Eur Qf: Gbr Vs Irl,tour
1969-D026,Davis Cup Eur F: Gbr Vs Rou,tour
1969-D027,Davis Cup Eur F: Gbr Vs Rsa,tour
1969-D028,Davis Cup Eur R1: Sui Vs Gbr,tour
1969-D029,Davis Cup Eur R1: Frg Vs Nzl,tour
1969-D030,Davis Cup Eur Qf: Swe Vs Frg,tour
1969-D031,Davis Cup Eur R1: Gre Vs Urs,tour
1969-D032,Davis Cup Eur R1: Pol Vs Hun,tour
1969-D033,Davis Cup Wg Qf: Ina Vs Phi,tour
1969-D034,Davis Cup Eur F: Ind Vs Jpn,tour
1969-D035,Davis Cup G1 Sf: Mas Vs Ind,tour
1969-D036,Davis Cup Wg Sf: Rou Vs Ind,tour
1969-D037,Davis Cup Wg F: Sri Vs Ind,tour
1969-D038,Davis Cup Eur R1: Rsa Vs Iri,tour
1969-D039,Davis Cup Eur R1: Irl Vs Lux,tour
1969-D040,Davis Cup Eur R1: Por Vs Isr,tour
1969-D041,Davis Cup Eur Qf: Rou Vs Isr,tour
1969-D043,Davis Cup Eur Sf: Urs Vs Ita,tour
1969-D044,Davis Cup Ame Sf: Jpn Vs Phi,tour
1969-D046,Davis Cup G1 Sf: Kor Vs Vie,tour
1969-D047,Davis Cup Eur Qf: Mon Vs Tch,tour
1969-D049,Davis Cup Eur F: Rou Vs Urs,tour
1969-D050,Davis Cup Wg Cr: Usa Vs Rou,tour
1969-2016,London-4,tour
1969-2030,Haverford,tour
1969-2036,Omaha,tour
1969-2047,Jacksonville,tour
1969-2066,Macon,tour
1969-308,Munich,tour
1969-319,Kitzbuhel,tour
1969-332,Cologne,tour
1969-342,Aix-En-Provence,tour
1969-355,Salisbury,tour
1969-388,Dallas,tour
1969-389,Denver,tour
1969-405,Houston,tour
1969-412,Atlanta,tour
1969-414,Hamburg,tour
1969-421,Toronto,tour
1969-424,Berkeley,tour
1969-436,Charlotte,tour
1969-652,St. Louis,tour
1969-653,Fort Worth,tour
1969-654,Sacramento,tour
1969-681,Hollywood,tour
1969-6811,Los Angeles 1,tour
1969-6817,San Juan,tour
1969-6818,St. Petersburg,tour
1969-6832,Midland,tour
1969-6833,Tucson,tour
1969-707,South Orange,tour
1969-7302,Paris,tour
1969-7310,Beckenham,tour
1969-802,Richmond,tour
1969-818,Chicago,tour
1969-9204,Kingston,tour
1969-9240,Berlin,tour
1969-9277,Curacao,tour
1969-9278,New Orleans,tour
1969-9280,Oakland,tour
1969-9281,Japanese Championships,tour
1969-9282,New York 2,tour
1969-9283,Amsterdam,tour
1969-9284,London 2,tour
1969-9285,Milwaukee,tour
1969-9286,Portschach,tour
1969-9287,Binghamton,tour
1969-9288,Southampton,tour
1969-9291,Newport,tour
1969-9292,Anaheim,tour
1969-9293,Baltimore,tour
1969-9294,Barcelona 2,tour
1969-9330,Vienna,tour
1969-9341,Brisbane,tour
1969-9830,Pittsburgh,tour
1969-9831,Buffalo,tour
1969-713,Hobart,tour
1969-3943,Boston,tour
1970-2029,Dublin,tour
1970-2030,Merion,tour
1970-2048,Vancouver,tour
1970-2049,Eastbourne,tour
1970-2050,Newport,tour
1970-2063,Casablanca Wct,tour
1970-2066,Macon,tour
1970-2067,Phoenix,tour
1970-260,Durban,tour
1970-303,Buenos Aires,tour
1970-311,London / Queen'S Club,tour
1970-313,Bristol,tour
1970-314,Gstaad,tour
1970-316,Bastad,tour
1970-317,Hilversum,tour
1970-347,Bournemouth,tour
1970-350,Nottingham,tour
1970-352,Paris Indoor,tour
1970-388,Dallas,tour
1970-3941,Sydney,tour
1970-401,Philadelphia Wct,tour
1970-405,Houston,tour
1970-406,Brussels,tour
1970-410,Monte Carlo,tour
1970-412,Atlanta,tour
1970-413,Las Vegas,tour
1970-414,Hamburg,tour
1970-416,Rome,tour
1970-417,Boston,tour
1970-418,Washington,tour
1970-419,Indianapolis,tour
1970-421,Montreal / Toronto,tour
1970-422,Cincinnati,tour
1970-423,Los Angeles,tour
1970-424,Berkeley,tour
1970-425,Barcelona,tour
1970-426,Johannesburg,tour
1970-429,Stockholm Open,tour
1970-430,Wembley,tour
1970-436,Charlotte,tour
1970-520,Roland Garros,tour
1970-540,Wimbledon,tour
1970-560,Us Open,tour
1970-580,Australian Open,tour
1970-605,Masters,tour
1970-652,St. Louis Wct,tour
1970-653,Fort Worth,tour
1970-657,Hampton,tour
1970-661,Dusseldorf,tour
1970-663,Louisville,tour
1970-6811,Los Angeles,tour
1970-6812,Wembley,tour
1970-681,Miami,tour
1970-6816,Corpus Christi,tour
1970-6817,San Juan,tour
1970-6830,Hoylake,tour
1970-6831,Leicester,tour
1970-6832,Midland,tour
1970-6833,Tucson,tour
1970-707,South Orange,tour
1970-802,Richmond,tour
1970-9205,Cambridge,tour
1970-D001,Davis Cup Sam Qf: Arg Vs Chi,tour
1970-D002,Davis Cup Wg F: Ind Vs Aus,tour
1970-D003,Davis Cup Ame F: Jpn Vs Aus,tour
1970-D005,Davis Cup Wg Sf: Phi Vs Aus,tour
1970-D006,Davis Cup Eur Qf: Fra Vs Aut,tour
1970-D007,Davis Cup Eur R1: Gbr Vs Aut,tour
1970-D008,Davis Cup Eur R1: Fin Vs Bel,tour
1970-D009,Davis Cup Eur Sf: Frg Vs Bel,tour
1970-D011,Davis Cup Ame F: Bra Vs Can,tour
1970-D012,Davis Cup Sam Sf: Bra Vs Chi,tour
1970-D013,Davis Cup Sam F: Bra Vs Col,tour
1970-D014,Davis Cup Eur Sf: Bra Vs Esp,tour
1970-D015,Davis Cup Sam Qf: Ven Vs Bra,tour
1970-D016,Davis Cup Eur Qf: Esp Vs Bul,tour
1970-D017,Davis Cup Eur R1: Tur Vs Bul,tour
1970-D018,Davis Cup Ame Sf: Can Vs Car,tour
1970-D019,Davis Cup Ame F: Can Vs Nzl,tour
1970-D020,Davis Cup Sam Qf: Col Vs Ecu,tour
1970-D021,Davis Cup Sam Sf: Col Vs Uru,tour
1970-D022,Davis Cup Eur R1: Frg Vs Den,tour
1970-D023,Davis Cup Eur Qf: Frg Vs Egy,tour
1970-D024,Davis Cup Eur R1: Egy Vs Nor,tour
1970-D025,Davis Cup Eur Sf: Fra Vs Esp,tour
1970-D026,Davis Cup Eur F: Frg Vs Esp,tour
1970-D027,Davis Cup Eur R1: Swe Vs Esp,tour
1970-D028,Davis Cup Eur F: Esp Vs Yug,tour
1970-D029,Davis Cup Eur R1: Sui Vs Fra,tour
1970-D030,Davis Cup Eur Sf: Ind Vs Frg,tour
1970-D031,Davis Cup Eur F: Frg Vs Urs,tour
1970-D032,Davis Cup Wg Cr: Usa Vs Frg,tour
1970-D033,Davis Cup Eur R1: Gre Vs Ned,tour
1970-D034,Davis Cup Eur Qf: Rou Vs Gre,tour
1970-D035,Davis Cup G2 Qf: Hkg Vs Jpn,tour
1970-D036,Davis Cup Eur R1: Hun Vs Urs,tour
1970-D037,Davis Cup G1 Qf: Vie Vs Ina,tour
1970-D038,Davis Cup Eur Sf: Ind Vs Pak,tour
1970-D039,Davis Cup Wg F: Ind Vs Sri,tour
1970-D040,Davis Cup Eur R1: Iri Vs Rou,tour
1970-D041,Davis Cup Eur R1: Lux Vs Irl,tour
1970-D042,Davis Cup Eur Qf: Irl Vs Yug,tour
1970-D043,Davis Cup Eur R1: Ita Vs Tch,tour
1970-D044,Davis Cup Wg Sf: Jpn Vs Vie,tour
1970-D045,Davis Cup G2 Sf: Mas Vs Sri,tour
1970-D046,Davis Cup Ame Sf: Mex Vs Nzl,tour
1970-D047,Davis Cup Eur R1: Por Vs Mon,tour
1970-D048,Davis Cup Eur Qf: Mon Vs Urs,tour
1970-D049,Davis Cup Eur R1: Yug Vs Pol,tour
1970-D050,Davis Cup Eur Sf: Yug Vs Rou,tour
1970-D051,Davis Cup Eur Sf: Urs Vs Tch,tour
1970-2016,London 3,tour
1970-2036,Omaha,tour
1970-2047,Jacksonville,tour
1970-2058,New York,tour
1970-301,Auckland,tour
1970-343,Columbus,tour
1970-344,Caracas,tour
1970-389,Denver,tour
1970-3936,Melbourne,tour
1970-3940,Barranquilla,tour
1970-654,Sacramento,tour
1970-717,Indianapolis,tour
1970-7308,Adelaide,tour
1970-7310,Beckenham,tour
1970-9204,Kingston,tour
1970-9238,Kansas City,tour
1970-9240,Berlin,tour
1970-9277,Curacao,tour
1970-9278,New Orleans,tour
1970-9289,Champions Classic,tour
1970-9290,Australian Round Robin,tour
1970-9291,Newport 2,tour
1970-9341,Brisbane,tour
1970-319,Kitzbuehel,tour
1970-308,Munich,tour
1970-6818,St. Petersburg,tour
1970-8025,Manchester,tour
1970-355,Salisbury,tour
1971-2011,Tehran Wct,tour
1971-2026,Madrid,tour
1971-2029,Dublin,tour
1971-2030,Merion,tour
1971-2036,Omaha,tour
1971-2044,Quebec Wct,tour
1971-2047,Jacksonville,tour
1971-2048,Vancouver Wct,tour
1971-2049,Eastbourne,tour
1971-2050,Newport,tour
1971-2051,Tanglewood,tour
1971-2058,New York,tour
1971-2061,Des Moines,tour
1971-2065,Catania,tour
1971-2066,Macon,tour
1971-260,Durban,tour
1971-262,London,tour
1971-301,Auckland,tour
1971-303,Buenos Aires,tour
1971-308,Munich,tour
1971-311,Queen'S Club,tour
1971-312,Bologna Wct,tour
1971-313,Bristol,tour
1971-314,Gstaad,tour
1971-317,Hilversum,tour
1971-319,Kitzbuhel,tour
1971-325,Palermo,tour
1971-332,Cologne Wct,tour
1971-343,Columbus,tour
1971-344,Caracas,tour
1971-347,Bournemouth,tour
1971-352,Paris Indoor,tour
1971-355,Salisbury,tour
1971-388,Dallas Wct,tour
1971-389,Denver,tour
1971-3936,Melbourne,tour
1971-401,Philadelphia Wct,tour
1971-405,Houston,tour
1971-406,Brussels,tour
1971-410,Monte Carlo,tour
1971-414,Hamburg,tour
1971-416,Rome,tour
1971-417,Boston Wct,tour
1971-418,Washington Wct,tour
