tourney_id,tourney_name,surface,tourney_level,draw_size,tourney_date
1968-417,Boston 1,Grass,A,16,19680612
1968-421,Toronto,Clay,M,64,19680812
1968-424,Berkeley,Hard,A,128,19680922
1968-430,Wembley 3,Hard,A,16,19681115
1968-653,Fort Worth NTL,Hard,A,8,19680815
1968-654,Sacramento,Hard,A,64,19680529
1968-6811,Los Angeles NTL,Carpet,A,16,19680717
1968-6816,Corpus Christi NTL,Hard,A,8,19681004
1968-6832,Midland NTL,Hard,A,8,19680927
1968-707,South Orange,Grass,A,64,19680729
1968-717,Milwaukee,Clay,A,64,19680715
1968-7308,Adelaide,Grass,A,64,19681123
1968-7310,Beckenham,Grass,A,64,19680610
1968-9206,New York 3,Carpet,A,8,19681128
1968-9240,Berlin,Clay,A,32,19680529
1968-9278,New Orleans 2,Carpet,A,16,19681227
1968-9282,New York NTL,Carpet,A,8,19680515
1968-9287,Binghamton NTL,Hard,A,4,19680809
1968-9288,Southampton,Grass,A,64,19680805
1968-9291,Newport WCT,Grass,A,8,19680812
1968-9310,Paris NTL,Hard,A,8,19680416
1968-9311,Wembley NTL 1,Hard,A,4,19680417
1968-9312,Evansville WCT,Carpet,A,8,19680420
1968-9313,Wembley NTL 2,Hard,A,8,19680502
1968-9314,Minneapolis WCT,Carpet,A,8,19680504
1968-9315,Buffalo WCT,Carpet,A,8,19680510
1968-9316,Baltimore WCT,Carpet,A,8,19680531
1968-9317,Paris 2,Clay,A,32,19680707
1968-9318,Bastad WCT,Clay,A,4,19680726
1968-9319,Cannes WCT,Hard,A,8,19680801
1968-9320,Pretoria WCT,Clay,A,16,19680926
1968-9321,Johannesburg WCT,Hard,A,16,19681002
1968-9322,Durban WCT,Hard,A,16,19681006
1968-9323,East London WCT,Hard,A,16,19681009
1968-9324,Port Elizabeth WCT,Hard,A,16,19681010
1968-9325,Cape Town WCT,Hard,A,16,19681011
1968-9326,Kimberley WCT,Clay,A,16,19681016
1968-9327,Sao Paulo NTL 2,Clay,A,4,19681021
1968-9328,La Paz NTL,Clay,A,4,19681027
1968-9329,Lima NTL,Clay,A,4,19681031
1968-9330,Vienna WCT,Hard,A,4,19681107
1968-9331,Nashville,Carpet,A,6,19681207
1968-9332,London 2,Hard,A,32,19681111
1968-9334,Lugano,Clay,A,64,19680610
1968-9335,Indianapolis,Clay,A,64,19680708
1968-9336,La Jolla,Hard,A,32,19681002
1968-9339,Naples,Clay,A,64,19680422
1968-9341,Brisbane,Grass,A,64,19681209
1968-9347,Reggio Calabria,Clay,A,64,19680429
1968-319,Kitzbuehel,Clay,A,32,19680820
1968-243,Perth,,A,,19680101
1968-313,Bristol,,A,,19680610
1968-583,Manchester,,A,,19680603
1968-9346,Cape Town,,A,,19680101
